,Ticker,Company,Segment,Exchange,Weighting (%),yf_ticker
0,SSE: 600519,Kweichow Moutai,Consumer Staples,Shanghai,5.972,600519.SS
1,SSE: 601318,Ping An Insurance,Financials,Shanghai,2.59,601318.SS
2,SZSE: 300750,CATL,Industrials,Shenzhen,2.421,300750.SZ
3,SSE: 600036,China Merchants Bank,Financials,Shanghai,2.225,600036.SS
4,SZSE: 000333,Midea Group,Consumer Discretionary,Shenzhen,1.727,000333.SZ
5,SZSE: 000858,Wuliangye Yibin,Consumer Staples,Shenzhen,1.549,000858.SZ
6,SSE: 600900,China Yangtze Power,Utilities,Shanghai,1.375,600900.SS
7,SSE: 601166,Industrial Bank,Financials,Shanghai,1.358,601166.SS
8,SSE: 601899,Zijin Mining Group,Materials,Shanghai,1.211,601899.SS
9,SSE: 600030,CITIC Securities,Financials,Shanghai,1.166,600030.SS
10,SSE: 600276,Jiangsu Hengrui Medicine,Health Care,Shanghai,1.068,600276.SS
11,SSE: 601398,Industrial and Commercial Bank of China,Financials,Shanghai,1.048,601398.SS
12,SSE: 600887,Inner Mongolia Yili Industrial Group,Consumer Staples,Shanghai,1.012,600887.SS
13,SZSE: 300059,East Money,Financials,Shenzhen,0.999,300059.SZ
14,SZSE: 000651,Gree Electric,Consumer Discretionary,Shenzhen,0.987,000651.SZ
15,SZSE: 300760,Mindray,Health Care,Shenzhen,0.983,300760.SZ
16,SZSE: 002594,BYD,Consumer Discretionary,Shenzhen,0.972,002594.SZ
17,SSE: 601328,Bank of Communications,Financials,Shanghai,0.966,601328.SS
18,SSE: 600309,Wanhua Chemical Group,Materials,Shanghai,0.841,600309.SS
19,SZSE: 000725,BOE Technology Group,Information Technology,Shenzhen,0.839,000725.SZ
20,SSE: 600919,Bank of Jiangsu,Financials,Shanghai,0.79,600919.SS
21,SZSE: 002475,Luxshare Precision Industry,Information Technology,Shenzhen,0.774,002475.SZ
22,SZSE: 300124,Shenzhen Inovance Technology,Industrials,Shenzhen,0.757,300124.SZ
23,SSE: 601288,Agricultural Bank of China,Financials,Shanghai,0.75,601288.SS
24,SZSE: 002415,Hangzhou Hikvision Digital Technology,Information Technology,Shenzhen,0.732,002415.SZ
25,SZSE: 000568,Luzhou Lao Jiao,Consumer Staples,Shenzhen,0.726,000568.SZ
26,SSE: 601012,Longi Green Energy Technology,Information Technology,Shanghai,0.722,601012.SS
27,SSE: 601088,China Shenhua Energy,Energy,Shanghai,0.714,601088.SS
28,SSE: 601816,Beijing-Shanghai High Speed Railway,Industrials,Shanghai,0.696,601816.SS
29,SSE: 600028,China Petroleum & Chemical Corporation,Energy,Shanghai,0.667,600028.SS
30,SSE: 600809,Shanxi Xinghuacun Fen Wine Factory,Consumer Staples,Shanghai,0.638,600809.SS
31,SSE: 601668,China State Construction Engineering,Industrials,Shanghai,0.629,601668.SS
32,SSE: 603259,WuXi AppTec,Health Care,Shanghai,0.627,603259.SS
33,SZSE: 002714,Muyuan Foodstuff,Consumer Staples,Shenzhen,0.59,002714.SZ
34,SZSE: 000001,Ping An Bank,Financials,Shenzhen,0.576,000001.SZ
35,SZSE: 300498,Wens Foodstuff Group,Consumer Staples,Shenzhen,0.572,300498.SZ
36,SSE: 600016,China Minsheng Bank,Financials,Shanghai,0.563,600016.SS
37,SSE: 601857,PetroChina,Energy,Shanghai,0.562,601857.SS
38,SSE: 601225,Shaanxi Coal Industry Company,Energy,Shanghai,0.561,601225.SS
39,SZSE: 300308,Zhongji Innolight,Information Technology,Shenzhen,0.559,300308.SZ
40,SSE: 688981,Semiconductor Manufacturing International Corporation,Information Technology,Shanghai,0.535,688981.SS
41,SZSE: 000063,ZTE,Information Technology,Shenzhen,0.534,000063.SZ
42,SSE: 601988,Bank of China,Financials,Shanghai,0.528,601988.SS
43,SZSE: 002352,S.F. Holding,Industrials,Shenzhen,0.527,002352.SZ
44,SSE: 600406,NARI Technology,Industrials,Shanghai,0.522,600406.SS
45,SSE: 600941,China Mobile,Communication,Shanghai,0.517,600941.SS
46,SZSE: 000338,Weichai Power,Industrials,Shenzhen,0.514,000338.SZ
47,SSE: 600050,China United Network Communications,Communication,Shanghai,0.514,600050.SS
48,SZSE: 002230,Iflytek,Information Technology,Shenzhen,0.513,002230.SZ
49,SSE: 600690,Qingdao Haier,Consumer Discretionary,Shanghai,0.512,600690.SS
50,SSE: 601728,China Telecom Corporation,Communication,Shanghai,0.51,601728.SS
