,Date,Portfolio Value
0,2025-01-06,100437.38176043103
1,2025-01-07,101410.95358530384
2,2025-01-08,102403.38733978194
3,2025-01-09,101944.16261450778
4,2025-01-10,101434.43564994248
5,2025-01-13,99985.30809789912
6,2025-01-14,102414.59740613835
7,2025-01-15,100949.01362595714
8,2025-01-16,100508.33219052703
9,2025-01-17,100544.4090045554
10,2025-01-20,99864.28345050098
11,2025-01-21,101269.52062167226
12,2025-01-22,100799.75756683039
13,2025-01-23,99471.57199044955
14,2025-01-24,99651.22435432479
15,2025-01-27,98267.75723796502
16,2025-02-05,99258.0975843294
17,2025-02-06,102601.98461955458
18,2025-02-07,104115.81544530831
19,2025-02-10,105024.04166482197
20,2025-02-11,104458.97914866295
21,2025-02-12,105809.52749678721
22,2025-02-13,105995.3019019787
23,2025-02-14,108337.65346011167
24,2025-02-17,110158.18409695962
25,2025-02-18,108922.8681759098
26,2025-02-19,110853.32257257926
27,2025-02-20,109241.87700208557
28,2025-02-21,111040.3164539738
29,2025-02-24,111031.09487789623
30,2025-02-25,110838.37289259481
31,2025-02-26,111418.14282689299
32,2025-02-27,112114.68751939358
