,Date,Portfolio Value
0,2023-11-14,100360.05222032877
1,2023-11-15,102293.10661145751
2,2023-11-16,100471.3256101672
3,2023-11-17,101774.71799679566
4,2023-11-20,103007.72951534075
5,2023-11-21,101303.53911263678
6,2023-11-22,100348.21128482952
7,2023-11-23,100721.20360830353
8,2023-11-24,100961.81208577288
9,2023-11-27,102142.20873719126
10,2023-11-28,103040.46177997549
11,2023-11-29,102097.86975307677
12,2023-11-30,102418.3698083567
13,2023-12-01,103141.81352792891
14,2023-12-04,104470.11129691014
15,2023-12-05,102191.92042966028
16,2023-12-06,104080.37408229298
17,2023-12-07,103898.9428884416
18,2023-12-08,107545.00914232254
19,2023-12-11,108393.24073290832
20,2023-12-12,107440.54611182462
21,2023-12-13,106038.05861609594
22,2023-12-14,104585.02294782556
23,2023-12-15,103929.51507847247
24,2023-12-18,102887.65999065457
25,2023-12-19,102223.03531740842
26,2023-12-20,101611.56580695641
27,2023-12-21,102417.85072836454
28,2023-12-22,104100.32756061491
29,2023-12-25,106185.50755480219
30,2023-12-26,105983.79401890836
31,2023-12-27,106072.16603573783
32,2023-12-28,106566.29938418965
33,2023-12-29,106150.02057088721
34,2024-01-02,104494.49826160501
35,2024-01-03,106654.0129537429
36,2024-01-04,107467.544617832
37,2024-01-05,106609.35552389782
38,2024-01-08,106574.80072447828
39,2024-01-09,105910.45758318994
40,2024-01-10,107520.38759216
41,2024-01-11,109498.01555796557
42,2024-01-12,107874.41336774113
43,2024-01-15,106685.98963062883
44,2024-01-16,107026.17196984937
45,2024-01-17,104140.13000652083
46,2024-01-18,105596.3426249679
47,2024-01-19,103628.05968488264
48,2024-01-22,101513.7665844693
49,2024-01-23,102436.95513167973
50,2024-01-24,102463.05490298077
51,2024-01-25,107674.33025068881
52,2024-01-26,108741.72131092622
53,2024-01-29,108981.75269018376
54,2024-01-30,106631.44607741432
55,2024-01-31,104717.66570658213
56,2024-02-01,103967.78843200674
57,2024-02-02,99433.04055097353
58,2024-02-05,101047.3915078257
59,2024-02-06,105290.84185193043
60,2024-02-07,107454.87790483006
61,2024-02-08,106203.64684803825
62,2024-02-19,104636.14929462553
63,2024-02-20,105212.75368370196
64,2024-02-21,104795.94207892014
65,2024-02-22,105222.87187699655
66,2024-02-23,105322.50421463748
67,2024-02-26,105176.89141191692
68,2024-02-27,108509.13758303276
69,2024-02-28,105281.45054377748
70,2024-02-29,106741.44361264793
71,2024-03-01,110929.78163209627
72,2024-03-04,113138.43784798286
73,2024-03-05,111316.47334929793
74,2024-03-06,108586.44633583416
75,2024-03-07,106605.11446442083
76,2024-03-08,109156.52421895324
77,2024-03-11,112360.94267499533
78,2024-03-12,114588.14299904194
79,2024-03-13,113583.53378619856
80,2024-03-14,112805.27680352259
81,2024-03-15,115078.66277080525
82,2024-03-18,116180.47688012285
83,2024-03-19,114287.98847984246
84,2024-03-20,114250.66998344274
85,2024-03-21,112994.48495187015
86,2024-03-22,111128.57487261119
87,2024-03-25,107969.55639438584
88,2024-03-26,108974.22554388533
89,2024-03-27,104217.76104007143
90,2024-03-28,104060.95194544371
91,2024-03-29,102629.5750575698
92,2024-04-01,103848.63982741715
93,2024-04-02,103687.04002048547
94,2024-04-03,103328.43804633399
95,2024-04-08,101809.12008677048
96,2024-04-09,102690.85488574035
97,2024-04-10,101004.58418148797
98,2024-04-11,102116.27317830549
99,2024-04-12,102848.49379855623
100,2024-04-15,101659.39589006895
101,2024-04-16,100346.80752277886
102,2024-04-17,102281.81465095328
103,2024-04-18,102106.93844881174
104,2024-04-19,101209.9602975876
